accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT1G60200.1	1	0	0	0	1	0	0	0
AT1G60420.1	2	0	0	0	0	0	0	0
AT1G60550.1	0	0	0	0	0	1	0	0
AT1G60780.1	13	11	11	7	10	9	7	8
AT1G61520.1	8	10	9	10	13	11	13	11
AT1G61790.1	0	2	1	2	1	2	1	2
AT1G62020.1	13	11	13	13	9	7	16	11
AT1G62640.1	3	1	2	2	1	2	2	2
AT1G62750.1	1	0	0	0	1	0	4	0
AT1G62820.1	3	4	2	3	0	0	1	1
AT1G62940.1	2	1	0	0	0	1	1	1
AT1G63000.1	1	2	1	0	1	1	2	1
AT1G63660.1	2	2	2	1	2	2	6	1
AT1G64040.1	0	0	0	0	0	0	1	0
AT1G64190.1	7	7	5	5	7	8	8	8
AT1G64330.1	4	4	5	5	4	4	2	0
AT1G64390.1	0	0	0	0	0	0	0	1
AT1G64520.1	3	1	1	0	1	1	1	1
AT1G64550.1	1	0	0	0	0	1	0	0
AT1G64740.1	31	33	31	35	30	30	33	32
AT1G64980.1	1	0	0	0	0	0	0	0
AT1G65220.1	1	1	0	1	1	0	1	1
AT1G65260.1	1	0	1	1	1	1	1	1
AT1G65930.1	3	3	2	4	0	3	5	2
AT1G65960.2	4	5	3	5	2	3	3	4
AT1G65980.1	0	0	0	0	0	0	1	0
AT1G66200.3	1	2	3	0	0	1	2	1
AT1G66240.1	0	0	0	1	0	0	0	0
AT1G66260.1	2	1	1	1	0	1	0	0
AT1G66410.2	23	32	25	20	8	23	20	19
AT1G67090.1	14	10	9	9	8	11	11	11
AT1G67230.1	0	1	0	0	0	1	1	0
AT1G67430.1	4	3	3	0	5	6	7	3
AT1G67700.2	2	3	3	2	2	3	1	1
AT1G67730.1	0	2	0	0	2	1	2	0
AT1G67750.1	0	0	1	0	0	0	0	0
AT1G68010.2	1	1	0	0	2	2	1	1
AT1G68530.1	11	5	8	11	7	6	3	6
AT1G68540.1	1	1	1	2	2	1	1	2
AT1G68560.1	6	7	5	7	4	3	6	3
AT1G68680.1	0	0	1	1	0	1	1	1
AT1G68720.1	0	0	1	0	0	0	0	0
AT1G69120.1	0	0	0	0	0	0	0	1
AT1G69200.1	0	0	0	0	1	1	0	0
AT1G69250.1	2	0	0	0	0	1	0	0
AT1G69830.1	3	1	3	5	1	0	1	5
AT1G69940.1	4	5	7	3	9	7	6	5
AT1G70290.1	0	0	0	0	1	0	0	0
AT1G70320.1	0	2	2	0	1	0	1	0
AT1G70410.2	0	0	1	0	1	1	0	0
AT1G70520.1	1	0	0	0	0	0	0	0
AT1G70600.1	0	2	0	0	0	0	0	0
AT1G70710.1	0	3	2	1	2	2	2	0
AT1G70770.1	1	1	0	0	1	0	1	0
AT1G70830.1	4	1	2	3	0	0	2	2
AT1G70940.1	1	0	1	1	0	0	1	1
AT1G71220.2	9	8	4	5	8	5	6	2
AT1G71500.1	8	8	7	6	6	8	6	7
AT1G71695.1	4	5	4	4	4	3	1	3
AT1G71770.1	3	0	2	0	1	1	4	0
AT1G71820.2	1	1	1	1	1	1	0	0
AT1G72150.1	3	1	1	2	1	3	1	2
AT1G72370.1	11	11	10	7	10	11	11	8
AT1G72550.1	0	0	0	0	0	0	1	0
AT1G72610.1	0	0	0	0	0	0	1	0
AT1G72730.1	39	41	35	39	36	36	47	44
AT1G72750.1	1	1	1	0	0	0	2	1
AT1G72970.1	6	2	2	2	0	5	2	5
AT1G73450.1	0	0	0	0	1	0	0	0
AT1G74050.1	7	12	8	7	7	5	9	9
AT1G74470.1	14	12	8	9	11	9	8	9
AT1G74540.1	5	5	7	9	4	6	7	9
AT1G74690.1	0	1	0	0	0	0	0	0
AT1G74730.1	1	0	0	1	1	0	0	0
AT1G74850.1	0	1	0	0	0	0	1	1
AT1G74910.1	0	0	0	2	0	0	1	1
AT1G74960.2	2	0	2	0	0	1	0	1
AT1G74970.1	0	1	0	0	0	0	1	0
AT1G75030.1	1	1	2	0	0	1	0	0
AT1G75340.1	0	0	0	0	0	0	1	0
AT1G75660.1	0	5	6	7	6	4	9	4
AT1G75780.1	41	48	26	28	36	36	41	34
AT1G75840.1	2	0	0	0	0	0	0	0
AT1G75910.1	13	17	17	14	19	16	15	20
AT1G75930.1	8	8	7	6	9	12	10	8
AT1G75940.1	10	8	8	9	11	11	10	10
AT1G75990.1	2	1	1	2	1	1	1	2
AT1G76010.1	3	1	2	3	6	4	6	2
AT1G76160.1	0	2	1	0	0	0	1	0
AT1G76180.1	13	9	5	8	5	7	3	3
AT1G76490.1	0	0	1	0	0	0	1	1
AT1G76550.1	0	4	0	1	0	0	0	1
AT1G76850.1	0	0	0	1	0	0	1	1
AT1G76880.1	1	0	0	0	0	0	0	0
AT1G76940.1	0	0	0	0	0	0	0	1
AT1G77030.1	0	0	0	0	0	0	0	1
AT1G77590.1	3	3	4	3	1	0	4	0
AT1G78140.1	0	0	0	0	0	0	0	1
AT1G78300.1	10	11	14	8	5	12	8	11
AT1G78570.1	12	13	9	5	1	2	6	8
AT1G78630.1	0	1	1	1	2	1	4	1
AT1G78820.1	0	0	0	0	1	0	0	0
AT1G78830.1	1	0	1	0	2	1	0	0
AT1G78900.1	27	23	22	22	21	22	25	21
AT1G79090.1	1	1	1	1	5	5	4	3
AT1G79230.1	1	0	0	0	0	0	1	0
AT1G79350.1	1	1	0	0	0	2	1	0
AT1G79530.1	21	25	20	17	22	20	16	17
AT1G79550.1	5	5	5	4	1	3	6	2
AT1G79750.1	1	0	0	0	0	0	0	0
AT1G79920.1	10	9	5	8	6	5	5	6
AT1G79930.1	10	9	5	6	5	5	5	5
AT1G80070.1	3	1	5	4	1	1	3	3
AT1G80410.2	9	14	6	14	7	5	11	7
AT1G80490.2	1	2	1	0	1	1	1	1
AT1G80930.1	0	0	1	0	0	0	1	0
AT2G01140.1	8	5	4	4	1	5	3	3
AT2G01250.1	7	12	5	6	7	7	10	6
AT2G02470.1	0	0	1	1	0	0	2	2
AT2G02740.1	2	2	3	1	3	3	3	4
AT2G02790.1	1	0	0	1	0	0	0	0
AT2G03440.1	0	0	0	0	0	1	0	0
AT2G03510.1	2	2	1	1	0	1	3	1
AT2G03820.1	0	0	0	0	0	2	0	0
AT2G04030.1	3	4	2	5	3	5	5	3
AT2G04390.1	5	4	2	3	6	3	6	0
AT2G04520.1	0	0	1	1	0	0	1	0
AT2G05070.1	27	36	25	39	25	26	39	34
AT2G05710.1	0	2	2	0	0	0	1	0
AT2G05920.1	2	2	2	2	4	3	1	3
AT2G05990.1	2	1	1	1	1	1	1	0
AT2G06850.1	3	6	4	3	9	7	8	6
AT2G07360.2	2	0	0	0	0	0	0	0
AT2G07560.1	3	1	0	2	1	2	1	5
AT2G07690.1	0	0	1	0	0	0	0	0
AT2G07698.1	23	19	23	21	21	18	14	17
AT2G09990.1	14	6	9	10	9	9	9	12
AT2G10940.1	3	2	3	1	3	2	1	2
