accession	F016864_2014_S17_control_C1	F016865_2014_S17_control_C2	F016867_2014_S17_URT1_H1	F016878_2014_S25_control_C5	F016880_2014_S25_URT1_H5	F016882_2015_S12_CTRL_1	F016883_2015_S12_CTRL_2	F016884_2015_S12_CTRL_3	F016886_2015_S12_URT1_myc2	F016887_2015_S12_URT1_myc3
AT3G50820.1	0	0	0	0	0	2	6	11	0	0
AT3G51600.1	2	0	0	0	0	0	0	0	0	0
AT3G51800.2	0	0	2	0	0	0	0	0	0	0
AT3G51880.2	0	0	0	0	0	0	0	0	3	3
AT3G52140.4	0	0	0	0	0	0	0	0	0	1
AT3G52150.1	0	0	2	0	0	0	0	0	0	0
AT3G52580.1	4	3	4	0	0	0	0	0	2	0
AT3G53420.1	1	7	4	0	0	6	8	7	0	0
AT3G53460.4	0	1	2	0	0	0	0	0	0	0
AT3G53870.1	1	3	1	0	0	0	0	0	1	1
AT3G54210.1	0	0	2	0	0	0	0	0	0	0
AT3G54540.1	0	0	4	2	5	0	0	0	0	0
AT3G55220.1-AT3G55200.1	0	0	0	0	0	0	0	0	1	0
AT3G55360.1	0	0	0	0	0	7	11	8	0	0
AT3G56150.1	2	4	7	0	1	0	0	0	0	3
AT3G57150.1	0	0	3	0	0	3	10	5	23	6
AT3G57290.1	0	0	2	0	0	0	0	0	0	0
AT3G57660.1	0	0	0	0	0	0	0	0	4	0
AT3G58510.1	0	0	11	0	2	0	13	10	19	22
AT3G58570.1	0	0	10	0	0	0	13	12	19	20
AT3G58730.1	0	0	0	0	0	17	39	41	0	0
AT3G59090.2	0	0	0	0	0	0	1	0	0	0
AT3G59140.1	0	0	0	0	0	1	6	0	0	0
AT3G60190.1	0	0	0	0	0	0	4	6	3	0
AT3G60240.4	0	0	0	0	7	0	0	0	3	4
AT3G60750.1	0	0	2	0	0	0	0	0	0	0
AT3G61240.1	0	0	0	0	5	0	2	0	9	13
AT3G61430.1	0	6	1	0	0	4	6	8	12	9
AT3G62120.1	0	6	3	28	51	7	54	47	24	35
AT3G62380.1	0	0	0	0	0	0	0	0	2	4
AT3G62700.1	0	0	0	0	0	23	51	46	0	0
AT3G63160.1	0	0	2	0	0	0	0	0	0	0
AT3G63460.1	4	13	0	0	0	0	43	52	0	0
AT3G63490.1	0	0	0	0	0	0	3	0	0	0
AT4G00100.1	2	0	0	0	0	0	0	0	0	0
AT4G00430.1	0	6	1	0	0	4	8	9	12	10
AT4G00660.2	0	0	0	0	4	0	1	0	13	15
AT4G00750.1	0	0	0	0	0	0	1	0	0	0
AT4G00860.1	0	0	0	0	0	4	4	4	0	0
AT4G01290.1	0	0	0	0	2	0	0	0	0	0
AT4G01310.1	0	0	3	0	0	0	0	0	0	0
AT4G01470.1	0	0	0	0	0	1	2	0	0	0
AT4G01850.1	0	0	0	0	0	0	2	0	0	0
AT4G02290.1	0	0	0	0	0	2	11	7	14	11
AT4G02510.1	7	3	4	0	0	1	2	2	0	0
AT4G02620.1	0	0	0	0	0	4	21	14	0	0
AT4G04640.1	0	0	7	0	1	0	0	0	0	0
AT4G04910.1	0	0	0	0	0	4	7	6	0	0
AT4G04920.1	2	2	0	0	0	0	3	0	2	0
AT4G05180.1	0	0	2	0	3	1	3	3	2	0
AT4G10340.1	0	0	3	0	1	0	4	8	0	0
AT4G10480.1	0	0	0	0	0	1	3	6	3	2
AT4G10710.1	0	0	0	0	0	0	0	5	3	0
AT4G10790.1	0	0	0	0	0	1	0	0	0	0
AT4G11150.1	0	0	0	0	0	47	90	89	1	0
AT4G11220.1	0	0	0	0	0	0	1	1	0	0
AT4G11420.1	6	2	5	0	2	0	0	0	0	0
AT4G11740.1	0	0	0	0	0	0	5	0	0	0
AT4G12600.2	0	0	0	0	0	0	7	2	6	0
AT4G13670.1	8	0	0	0	0	0	0	0	0	0
AT4G13940.1	0	4	1	0	0	0	0	0	0	0
AT4G14960.2	0	0	0	0	0	6	5	4	5	7
AT4G15802.1	2	4	4	6	0	0	9	5	5	2
AT4G16720.1	0	0	0	0	0	0	2	0	0	0
AT4G17520.1	0	1	0	0	0	0	0	0	0	0
AT4G18030.1	0	0	0	0	0	0	2	0	0	0
AT4G18040.1	0	0	0	0	2	0	0	0	0	2
AT4G18130.1	0	0	0	0	0	0	3	6	0	0
AT4G20260.4	0	0	2	5	18	0	0	0	0	1
AT4G20360.1	14	5	13	8	29	0	3	5	4	4
AT4G20890.1	0	1	1	0	0	3	8	7	10	5
